"degree","uni","loc","dates","details"
"PhD in Comparative Education","Columbia University","New York, NY",2001,"Dissertation: Digital Literacy: How to Measure Browsing Behavior."
"MA in Applied Linguistics","Teachers College – Columbia University","New York, NY",1997,"Thesis topic: Processing of Alphabetic and Logographic Script in a Cross Cultural Stroop Test."
"BA in Linguistics, Modern Languages and Statistics","University of Bergen","Norway",1993,"Field of Concentration: Statistics and Quantitative Linguistics."
