degree,uni,loc,dates,details
Doctor of Philosophy (PhD) en Educación Comparada,Columbia University,"New York, NY",2001,"Tesis Doctoral: ""Digital Literacy: How to Measure Browsing Behavior."" (Lecto-escritura digital: Cómo medir el comportamiento en línea)."
Master of Arts (MA) en lingüística aplicada,Teachers College – Columbia University,"New York, NY",1997,"Tesis: ""Processing of Alphabetic and Logographic Script in a Cross Cultural Stroop Test."" (El procesamiento de escritura alfabética y logográfica en un test ""Stroop"" transcultural).  "
"Candidatus Magisterii en lingüística, lenguas modernas y estadísticas",Universidad de Bergen,"Bergen, Noruega",1993,Concentración en estadísticas y lingüística quantitativa.
